industry,quarter,nominal_production_yoy,production,production_masked,grade,ppi_level,component_id,ppi_item,ppi_index,ppi_index_yoy_pct,ppi_index_complete_quarter,ppi_adjusted_production_yoy,ppi_mapping_grade,ppi_mapping_uncertainty,ppi_index_incomplete_quarter
석유화학,2023Q3,52.25144924265754,1000.6625,0,C,lv3,c1,화학제품,122.25,-4.78972,True,59.91072523120145,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2023Q3,52.25144924265754,1000.6625,0,C,lv3,c2,석탄및석유제품,195.233333,-16.962032,True,83.35160759552491,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2023Q3,166.49831649831648,7.915,0,A,lv4,,섬유및의복,115.86,3.91342,True,156.46188576828334,A,대분류 직접 대응,-2
운송장비,2023Q3,36.63975187186082,39080.14339936363,0,A,lv3,,운송장비,105.256667,1.305743,True,34.87858420016803,A,대분류 직접 대응,-2
음식료,2023Q3,17.93837890549419,1523.87,0,A,lv3,,음식료품,120.903333,4.274954,True,13.103266298726158,A,대분류 직접 대응,-2
전기전자,2023Q3,13.393470030739008,34407.77379875,0,C,lv3,c1,전기장비,119.55,5.871413,True,7.104899063488457,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2023Q3,13.393470030739008,34407.77379875,0,C,lv3,c2,컴퓨터전자및광학기기,94.43,-5.758483,True,20.322203674564165,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2023Q3,-9.898771069811884,15843.7605,0,B,lv4,,철강1차제품,142.363333,-6.150567,True,-3.9938483909773725,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2023Q4,,,1,A,lv3,,기계및장비,109.15,1.500263,True,,A,대분류 직접 대응,-2
기타,2023Q4,,,1,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2023Q4,,,1,A,lv3,,목재및종이제품,120.343333,-2.914997,True,,A,대분류 직접 대응,-2
비금속,2023Q4,,,1,A,lv3,,비금속광물제품,129.436667,4.73352,True,,A,대분류 직접 대응,-2
석유화학,2023Q4,,,1,C,lv3,c1,화학제품,123.333333,-1.467338,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2023Q4,,,1,C,lv3,c2,석탄및석유제품,197.576667,-10.490788,True,,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2023Q4,,,1,A,lv4,,섬유및의복,116.373333,2.513507,True,,A,대분류 직접 대응,-2
운송장비,2023Q4,,,1,A,lv3,,운송장비,106.506667,1.874761,True,,A,대분류 직접 대응,-2
음식료,2023Q4,,,1,A,lv3,,음식료품,121.086667,2.436411,True,,A,대분류 직접 대응,-2
