hs6,hs_chapter,chapter_name_ko,hs6_name_ko,target_kicox_industry,mapping_type,mapping_confidence,rationale,nature_major_code,nature_major_name,valid_through,source
720810,72,제72류 철강,코일 모양인 것으로서 열간(熱間)압연보다 더 가공하지 않고 부조(浮彫)된 무늬가 있는 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720825,72,제72류 철강,두께가 4.75밀리미터 이상인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720826,72,제72류 철강,두께가 3밀리미터 이상 4.75밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720827,72,제72류 철강,두께가 3밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720836,72,제72류 철강,두께가 10밀리미터를 초과하는 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720837,72,제72류 철강,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720838,72,제72류 철강,두께가 3밀리미터 이상 4.75밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720839,72,제72류 철강,두께가 3밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720840,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720851,72,제72류 철강,두께가 10밀리미터를 초과하는 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720852,72,제72류 철강,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720853,72,제72류 철강,두께가 3밀리미터 이상 4.75밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720854,72,제72류 철강,두께가 3밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720890,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720915,72,제72류 철강,두께가 3밀리미터 이상인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720916,72,제72류 철강,두께가 1밀리미터 초과 3밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720917,72,제72류 철강,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720918,72,제72류 철강,두께가 0.5밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720925,72,제72류 철강,두께가 3밀리미터 이상인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720926,72,제72류 철강,두께가 1밀리미터 초과 3밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720927,72,제72류 철강,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720928,72,제72류 철강,두께가 0.5밀리미터 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720990,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721011,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721012,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721020,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721030,72,제72류 철강,아연을 전해도금하거나 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721041,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721049,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,,,2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721050,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721061,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721069,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721070,72,제72류 철강,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721090,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721113,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721114,72,제72류 철강,기타(두께가 4.75밀리미터 이상인 것으로 한정한다),철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721119,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721123,72,제72류 철강,탄소의 함유량이 전 중량의 100분의 0.25 미만인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
721129,72,제72류 철강,기타,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010201,(철강 판재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
