wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
K131132609040051,무지개어린이집,어린이집 반 증설로 2세(만0세) 보육교사 모집합니다.,월급216 만원 이상,경남 창원시 진해구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040051
K131132609040050,일성정공글로벌 주식회사,[생산팀] 자동차부품 사출 경력자 모집,"연봉5,000 만원 이상 ~ 5,000 만원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-04,26-09-19,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040050
K131132609040048,3엠테크(TECH),설비 보수 및 안전관리 담당자 모집,월급300 만원 이상,경남 창원시 성산구,[인증],,경력 2년,26-09-04,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040048
K131132609040046,희연재활병원,희연재활병원 영양사 모집,"연봉2,964 만원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040046
K131132609040045,주식회사성호전자,[긴급채용] 총무 및 산업안전 행정 사무원 채용,"시급11,000 원 이상",경남 창원시 성산구,[인증],,관계없음,26-09-04,26-09-20,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040045
K131132609040044,주식회사 대근산업,품질관리사무원,"연봉3,700 만원 이상 ~ 3,800 만원 이하",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-09-20,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040044
K131132609040042,(주)신한정기,납품원(정규직/경력자),"시급10,320 원 이상",경남 창원시 성산구,[인증],,경력 1년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040042
K131132609040041,주식회사 국성,생산관리자모집(기계가공),"연봉4,500 만원 이상 ~ 5,500 만원 이하",경남 창원시 의창구,[인증],,경력 5년,26-09-04,26-09-18,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040041
K131132609040040,(주)신한정기,공작기계 조립원,"시급10,320 원 이상",경남 창원시 성산구,[인증],,경력 2년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040040
K131132609040039,한국전기연구원,2026년도 제4차 별정직 공개경쟁 채용 공고(창원),월급216 만원 이상 ~ 216 만원 이하,경남 창원시 성산구,[인증],,관계없음,26-09-04,26-09-20,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040039
K131132609040037,주식회사 우신솔루션,소형부품 세척 및 포장/마스킹 인원 모집,"시급10,500 원 이상 ~ 11,000 원 이하",경남 창원시 의창구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040037
KF10792609040006,교방노인복지센터,[자은동]재가요양보호사,"시급10,320 원 이상 ~ 10,320 원 이하",경남 창원시 진해구,[인증],,관계없음,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KF10792609040006
