industry,quarter,cai_observe,cai_check,cai_priority,cai_undetermined,necessary_stage,possible_stages,n_possible,is_discriminating,v1_0_stage,d_stage,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
기타,2026Q2,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2022Q1,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2022Q2,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2022Q3,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2022Q4,0.791404011461318,0.20859598853868194,0.0,0.0,,OBSERVE|CHECK,2,True,OBSERVE,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2023Q1,0.09570200573065903,0.904297994269341,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2023Q2,0.09570200573065903,0.8945558739255014,0.009742120343839542,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2023Q3,0.09283667621776505,0.006876790830945559,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2023Q4,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,UNDETERMINED,UNDETERMINED,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
목재종이,2024Q1,0.7243553008595989,0.019484240687679084,0.25616045845272206,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
