snapshot_id,crawl_timestamp,source_center,wanted_auth_no,company_raw,normalized_company,company_official,company_match_status,n_factories_matched,title_raw,region_raw,gu,in_scope,reg_date,reg_date_raw,reg_date_status,due_date,due_date_raw,due_date_status,wage_raw,wage_type,wage_min,wage_max,wage_unit,wage_parse_status,career_raw,career_type,career_min_months,career_parse_status,education_raw,cert_raw,posting_status,recruitment_count,recruitment_count_source,occupation,occupation_source,workplace_address_raw,workplace_address_enriched,address_source,address_reference_date,ksic_code,ksic_mid,ksic_name,ksic_revision,ksic_resolution_method,ksic_source,is_manufacturing,industrial_complex_match_status,industrial_complex_match_method,address_legal_dong,kicox_industry,kicox_mapping_status,kicox_mapping_confidence,kicox_mapping_note,duplicate_group_id,repost_candidate,repost_reason,source_url
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170019,재단법인 경상남도인재평생교육진흥원,경상남도인재평생교육진흥원,,NO_MATCH,,경상남도인재평생교육진흥원 2026년 제7회 직원 채용(경남앵커센터 전문임기제 5급 대리),경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-10-02,26-10-02,PARSED,"연봉 3,500 만원 이상 ~ 5,668 만원 이하",연봉,35000000,56680000,원,PARSED,경력 2년,경력,24.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170019
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131112609170012,화림,화림,,NO_MATCH,,[창원] 가전제품생산 / 수당지급 / 정규직검토 / 조립 사원 채용,경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-10-01,26-10-01,PARSED,"시급 10,320 원 이상 ~ 10,320 원 이하",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131112609170012
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170018,재단법인 경상남도인재평생교육진흥원,경상남도인재평생교육진흥원,,NO_MATCH,,(재)경상남도평생교육진흥원 2026년 제7회 직원 채용 공고(경상남도앵커센터 센터장),경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-10-02,26-10-02,PARSED,"연봉 6,400 만원 이상",연봉,64000000,64000000,원,PARSED,경력 3년,경력,36.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170018
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170017,세계미크론,세계미크론,세계미크론,MATCH,1.0,원통연삭 기능공  모집,경남 창원시 의창구,의창구,True,2026-09-17,26-09-17,PARSED,2026-11-16,26-11-16,PARSED,"연봉 3,600 만원 이상",연봉,36000000,36000000,원,PARSED,경력 2년,경력,24.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,경상남도 창원시 의창구 죽전로74번길 43 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,2024-12-31,29299,29,그 외 기타 특수목적용 기계 제조업,KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,의창구 (팔용동,기계,MAPPED,A,direct,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170017
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170016,SM측량공사,SM측량공사,,NO_MATCH,,[측량팀] 지적측량 기술자 모집(신입가능),경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-11-15,26-11-15,PARSED,"연봉 2,600 만원 이상 ~ 4,000 만원 이하",연봉,26000000,40000000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170016
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170015,주식회사한전금속,한전금속,(주)한전금속,MULTI,2.0,생산관리(대리급) 모집합니다.,경남 창원시 진해구,진해구,True,2026-09-17,26-09-17,PARSED,2026-10-16,26-10-16,PARSED,"연봉 4,200 만원 이상 ~ 4,200 만원 이하",연봉,42000000,42000000,원,PARSED,관계없음,관계없음,,PARSED,고졸|대졸(2~3년)|대졸(4년),[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170015
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KJBB002609170002,(주)호성식품,호성식품,,NO_MATCH,,진해 제2부두 내 산업체 구내식당 조리원 구인,경남 창원시 진해구,진해구,True,2026-09-17,26-09-17,PARSED,2026-11-15,26-11-15,PARSED,월급 220 만원 이상 ~ 220 만원 이하,월급,2200000,2200000,원,PARSED,경력 1년,경력,12.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KJBB002609170002
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170014,한신ENG,한신ENG,,NO_MATCH,,생산직 사원 모집,경남 창원시 진해구,진해구,True,2026-09-17,26-09-17,PARSED,2026-10-01,26-10-01,PARSED,월급 250 만원 이상,월급,2500000,2500000,원,PARSED,신입,신입,0.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170014
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170013,(주) 새롬아이디,새롬아이디,,NO_MATCH,,성장하는 건설 업계를 함께 이끌어갈 건설 현장 전문가를 모집합니다.,경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-11-16,26-11-16,PARSED,"연봉 3,500 만원 이상",연봉,35000000,35000000,원,PARSED,경력 2년,경력,24.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170013
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170012,농업회사법인 합자회사 거성,농업회사법인거성,,NO_MATCH,,사무직 사원모집,경남 창원시 의창구,의창구,True,2026-09-17,26-09-17,PARSED,2026-11-15,26-11-15,PARSED,월급 250 만원 이상 ~ 300 만원 이하,월급,2500000,3000000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170012
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170011,농업회사법인 합자회사 거성,농업회사법인거성,,NO_MATCH,,대리점 및 거래처 배송 납품 업무,경남 창원시 의창구,의창구,True,2026-09-17,26-09-17,PARSED,2026-11-16,26-11-16,PARSED,월급 250 만원 이상 ~ 300 만원 이하,월급,2500000,3000000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170011
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KEC0132609170007,누림재가복지센터,누림재가복지센터,,NO_MATCH,,"[사림동 오후 2시~5시 화,목,토] 재가요양보호사 구합니다.",경남 창원시 의창구,의창구,True,2026-09-17,26-09-17,PARSED,2026-11-16,26-11-16,PARSED,"시급 13,000 원 이상 ~ 13,000 원 이하",시급,13000,13000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KEC0132609170007
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170010,유창ENG,유창ENG,,NO_MATCH,,유창ENG - (2.5톤전동지게차운전원) 정규직원모집,경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-10-05,26-10-05,PARSED,"시급 10,320 원 이상",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170010
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170009,만호제강(주)창원공장,만호제강창원공장,,NO_MATCH,,만호제강 생산직 사원 모집 (창원공장),경남 창원시 성산구,성산구,True,2026-09-17,26-09-17,PARSED,2026-09-24,26-09-24,PARSED,"시급 10,320 원 이상",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170009
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K120412609170008,포트렌탈주식회사,포트렌탈,,NO_MATCH,,"[부산신항]하역장비,물류운송장비(디젤,전기) / 지게차 / 리치스태커-정비,수리,AS 직원 모집(신입,경력)",경남 창원시 진해구,진해구,True,2026-09-17,26-09-17,PARSED,2026-11-16,26-11-16,PARSED,월급 320 만원 이상,월급,3200000,3200000,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K120412609170008
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,KEC0132609170006,연세재가복지센터,연세재가복지센터,,NO_MATCH,,(진해구 경화동 오전)요양보호사 선생님을 구합니다.,경남 창원시 진해구,진해구,True,2026-09-17,26-09-17,PARSED,2026-11-15,26-11-15,PARSED,"시급 10,320 원 이상 ~ 10,320 원 이하",시급,10320,10320,원,PARSED,관계없음,관계없음,,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,,NOT_COLLECTED_ACCESS_POLICY,,,,,,UNRESOLVED,NOT_COLLECTED_ACCESS_POLICY,,UNKNOWN,NO_RELIABLE_ADDRESS,,,UNMAPPED,,기업 미식별로 KSIC 미해결,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KEC0132609170006
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,창원고용복지+센터,K131132609170008,오아시스템,오아시스템,오아시스템,MATCH,1.0,사무 및 무역 경험이 풍부한 수출입 사무원을 모집합니다.,경남 창원시 의창구,의창구,True,2026-09-17,26-09-17,PARSED,2026-11-15,26-11-15,PARSED,월급 230 만원 이상 ~ 330 만원 이하,월급,2300000,3300000,원,PARSED,경력 3년,경력,36.0,PARSED,학력무관,[인증],CONTINUING,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,,"경상남도 창원시 의창구 차룡로48번길 44, 1동 16층 F1605호  (팔용동)",ENRICHED_FROM_FACTORY_REGISTER,2024-12-31,22292,22,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",KSIC 11차,COMPANY_MASTER_EXACT,ENRICHED_FROM_FACTORY_REGISTER,True,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,의창구 (팔용동,석유화학,MAPPED,B,approximate,,False,,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170008
